frozenset(['paralog06', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog15', 'paralog11'])	[(8, 0.46046046046046046), (9, 0.23823823823823823), (7, 0.22122122122122123), (6, 0.044044044044044044), (5, 0.01901901901901902), (10, 0.016016016016016016), (11, 0.001001001001001001)]
frozenset(['paralog14', 'paralog10'])	[(8, 0.6586586586586587), (9, 0.16916916916916916), (7, 0.14414414414414414), (6, 0.015015015015015015), (10, 0.012012012012012012), (5, 0.001001001001001001)]
frozenset(['paralog14', 'paralog06'])	[(8, 0.6586586586586587), (9, 0.16916916916916916), (7, 0.14414414414414414), (6, 0.015015015015015015), (10, 0.012012012012012012), (5, 0.001001001001001001)]
frozenset(['paralog06', 'paralog13'])	[(8, 0.6596596596596597), (9, 0.17017017017017017), (7, 0.14614614614614616), (10, 0.012012012012012012), (6, 0.011011011011011011), (5, 0.001001001001001001)]
frozenset(['paralog13', 'paralog10'])	[(8, 0.6596596596596597), (9, 0.17017017017017017), (7, 0.14614614614614616), (10, 0.012012012012012012), (6, 0.011011011011011011), (5, 0.001001001001001001)]
frozenset(['paralog14', 'paralog03'])	[(9, 0.4644644644644645), (8, 0.3133133133133133), (10, 0.0960960960960961), (7, 0.08808808808808809), (6, 0.03403403403403404), (5, 0.003003003003003003), (4, 0.001001001001001001)]
frozenset(['paralog13', 'paralog03'])	[(9, 0.46546546546546547), (8, 0.31431431431431434), (10, 0.0970970970970971), (7, 0.08608608608608609), (6, 0.03303303303303303), (5, 0.003003003003003003), (4, 0.001001001001001001)]
frozenset(['paralog05', 'paralog09'])	[(9, 0.45045045045045046), (8, 0.32432432432432434), (10, 0.1061061061061061), (7, 0.08408408408408409), (6, 0.028028028028028028), (5, 0.007007007007007007)]
frozenset(['paralog09', 'paralog11'])	[(9, 0.45045045045045046), (8, 0.32432432432432434), (10, 0.1061061061061061), (7, 0.08408408408408409), (6, 0.028028028028028028), (5, 0.007007007007007007)]
frozenset(['paralog14', 'paralog11'])	[(10, 0.46392785571142287), (9, 0.313627254509018), (11, 0.09619238476953908), (8, 0.08817635270541083), (7, 0.03406813627254509), (6, 0.003006012024048096), (5, 0.001002004008016032)]
frozenset(['paralog05', 'paralog14'])	[(10, 0.46392785571142287), (9, 0.313627254509018), (11, 0.09619238476953908), (8, 0.08817635270541083), (7, 0.03406813627254509), (6, 0.003006012024048096), (5, 0.001002004008016032)]
frozenset(['paralog05', 'paralog13'])	[(10, 0.4649298597194389), (9, 0.31462925851703405), (11, 0.09719438877755511), (8, 0.08617234468937876), (7, 0.033066132264529056), (6, 0.003006012024048096), (5, 0.001002004008016032)]
frozenset(['paralog13', 'paralog11'])	[(10, 0.4649298597194389), (9, 0.31462925851703405), (11, 0.09719438877755511), (8, 0.08617234468937876), (7, 0.033066132264529056), (6, 0.003006012024048096), (5, 0.001002004008016032)]
