frozenset(['paralog04', 'paralog10'])	[(6, 0.6229508196721312), (7, 0.2786885245901639), (5, 0.09484777517564402), (4, 0.00351288056206089)]
frozenset(['paralog09', 'paralog03'])	[(6, 0.6245572609208973), (7, 0.32231404958677684), (5, 0.04250295159386069), (8, 0.010625737898465172)]
frozenset(['paralog09', 'paralog10'])	[(6, 0.6230859835100118), (7, 0.32391048292108365), (5, 0.04240282685512368), (8, 0.01060070671378092)]
frozenset(['paralog03', 'paralog02'])	[(6, 0.6198347107438017), (7, 0.32585596221959856), (5, 0.04250295159386069), (8, 0.011806375442739079)]
frozenset(['paralog10', 'paralog02'])	[(6, 0.6171967020023557), (7, 0.3286219081272085), (5, 0.04240282685512368), (8, 0.011778563015312132)]
frozenset(['paralog15', 'paralog11'])	[(6, 0.5718782791185729), (7, 0.3410283315844701), (5, 0.04302203567681007), (8, 0.03672612801678909), (4, 0.007345225603357817)]
frozenset(['paralog04', 'paralog13'])	[(7, 0.5128755364806867), (6, 0.2832618025751073), (8, 0.13841201716738197), (5, 0.05042918454935622), (4, 0.013948497854077254), (3, 0.001072961373390558)]
frozenset(['paralog09', 'paralog13'])	[(7, 0.5480043149946062), (6, 0.2696871628910464), (8, 0.16181229773462782), (5, 0.017259978425026967), (4, 0.002157497303128371), (9, 0.0010787486515641855)]
frozenset(['paralog13', 'paralog02'])	[(7, 0.5480043149946062), (6, 0.267529665587918), (8, 0.16073354908306364), (5, 0.017259978425026967), (9, 0.004314994606256742), (4, 0.002157497303128371)]
frozenset(['paralog15', 'paralog12'])	[(8, 0.46681175190424373), (7, 0.24374319912948858), (6, 0.16974972796517954), (5, 0.06746463547334058), (3, 0.028291621327529923), (4, 0.014145810663764961), (9, 0.008705114254624592), (2, 0.001088139281828074)]
frozenset(['paralog14', 'paralog01'])	[(7, 0.9107883817427386), (8, 0.08506224066390042), (6, 0.0031120331950207467), (9, 0.001037344398340249)]
frozenset(['paralog01', 'paralog02'])	[(7, 0.8491735537190083), (8, 0.1446280991735537), (9, 0.0030991735537190084), (6, 0.0030991735537190084)]
frozenset(['paralog01', 'paralog09'])	[(7, 0.8491735537190083), (8, 0.1446280991735537), (9, 0.0030991735537190084), (6, 0.0030991735537190084)]
frozenset(['paralog06', 'paralog03'])	[(7, 0.5962219598583235), (8, 0.3022432113341204), (6, 0.089728453364817), (5, 0.011806375442739079)]
frozenset(['paralog06', 'paralog10'])	[(7, 0.5948174322732627), (8, 0.303886925795053), (6, 0.0895170789163722), (5, 0.011778563015312132)]
frozenset(['paralog04', 'paralog08'])	[(8, 0.4682454251883746), (7, 0.38751345532831), (6, 0.1054897739504844), (5, 0.03229278794402583), (4, 0.006458557588805167)]
frozenset(['paralog07', 'paralog11'])	[(7, 0.569620253164557), (8, 0.33755274261603374), (6, 0.04746835443037975), (9, 0.03691983122362869), (5, 0.007383966244725738), (3, 0.0010548523206751054)]
frozenset(['paralog05', 'paralog04'])	[(8, 0.513978494623656), (7, 0.36666666666666664), (6, 0.0935483870967742), (5, 0.02258064516129032), (4, 0.002150537634408602), (3, 0.001075268817204301)]
frozenset(['paralog09', 'paralog08'])	[(8, 0.525974025974026), (7, 0.3841991341991342), (6, 0.07142857142857142), (5, 0.01406926406926407), (9, 0.003246753246753247), (4, 0.0010822510822510823)]
frozenset(['paralog08', 'paralog02'])	[(8, 0.5248917748917749), (7, 0.38095238095238093), (6, 0.07142857142857142), (5, 0.01406926406926407), (9, 0.007575757575757576), (4, 0.0010822510822510823)]
frozenset(['paralog05', 'paralog09'])	[(8, 0.5708108108108109), (7, 0.36648648648648646), (6, 0.05081081081081081), (5, 0.0075675675675675675), (9, 0.004324324324324324)]
frozenset(['paralog05', 'paralog02'])	[(8, 0.5718918918918919), (7, 0.3621621621621622), (6, 0.05081081081081081), (9, 0.0075675675675675675), (5, 0.0075675675675675675)]
frozenset(['paralog06', 'paralog13'])	[(8, 0.5302375809935205), (7, 0.25593952483801297), (9, 0.14362850971922247), (6, 0.04643628509719223), (5, 0.011879049676025918), (4, 0.01079913606911447), (3, 0.0010799136069114472)]
frozenset(['paralog07', 'paralog12'])	[(9, 0.4611171960569551), (8, 0.24534501642935377), (7, 0.171960569550931), (6, 0.06900328587075576), (4, 0.028477546549835708), (5, 0.013143483023001095), (10, 0.008762322015334063), (1, 0.001095290251916758), (3, 0.001095290251916758)]
frozenset(['paralog15', 'paralog03'])	[(8, 0.599290780141844), (9, 0.2978723404255319), (7, 0.08865248226950355), (6, 0.01182033096926714), (10, 0.002364066193853428)]
frozenset(['paralog15', 'paralog10'])	[(8, 0.597877358490566), (9, 0.29952830188679247), (7, 0.08844339622641509), (6, 0.01179245283018868), (10, 0.0023584905660377358)]
frozenset(['paralog06', 'paralog08'])	[(9, 0.49079089924160346), (8, 0.36511375947995667), (7, 0.09750812567713976), (6, 0.027085590465872156), (5, 0.016251354279523293), (4, 0.0021668472372697724), (10, 0.0010834236186348862)]
frozenset(['paralog01', 'paralog11'])	[(8, 0.5717299578059072), (9, 0.33755274261603374), (7, 0.046413502109704644), (10, 0.03691983122362869), (6, 0.007383966244725738)]
